sample_id,dataset,organism_ch1,source_name_ch1,disease,health_state,brain_region,tissue,sex,age,disease_status
GSM1443249,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443250,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443251,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443252,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443253,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443254,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443255,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443256,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443257,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443258,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443259,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443260,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443261,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443262,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443263,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443264,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443265,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443266,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443267,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443268,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443269,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443270,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443271,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443272,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443273,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443274,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
